nohup: ignoring input
Namespace(batchSize=48, chop=False, cuda=True, loss='1*VGG54+0.01*GDL', lr=0.0001, nEpochs=1000, patchSize=64, pre_train='./experiment/G_0.105.pth', rgb_range=255, seed=123, testBatchSize=1, threads=4)
===> Loading datasets
===> Building model
Let's use 4 GPUs!
load model from ./experiment/G_0.105.pth ...
success!
Preparing loss function:
1.000 * VGG54
0.010 * GDL
Setting up [LPIPS] perceptual loss: trunk [alex], v[0.1], spatial [off]
Loading model from: /root/miniconda3/lib/python3.7/site-packages/lpips/weights/v0.1/alex.pth
===========> G_Epoch[1](1/2480): Loss: 0.602579
===> D_Epoch[1](1/2480): Loss: 0.693694
===========> G_Epoch[1](2/2480): Loss: 0.579938
===> D_Epoch[1](2/2480): Loss: 0.693403
===========> G_Epoch[1](3/2480): Loss: 0.617711
===> D_Epoch[1](3/2480): Loss: 0.692355
===========> G_Epoch[1](4/2480): Loss: 0.583464
===> D_Epoch[1](4/2480): Loss: 0.691769
===========> G_Epoch[1](5/2480): Loss: 0.632414
===> D_Epoch[1](5/2480): Loss: 0.692068
===========> G_Epoch[1](6/2480): Loss: 0.676412
===> D_Epoch[1](6/2480): Loss: 0.692560
===========> G_Epoch[1](7/2480): Loss: 0.700365
===> D_Epoch[1](7/2480): Loss: 0.692417
===========> G_Epoch[1](8/2480): Loss: 0.578661
===> D_Epoch[1](8/2480): Loss: 0.692533
===========> G_Epoch[1](9/2480): Loss: 0.768547
===> D_Epoch[1](9/2480): Loss: 0.692013
===========> G_Epoch[1](10/2480): Loss: 0.666212
===> D_Epoch[1](10/2480): Loss: 0.690576
===========> G_Epoch[1](11/2480): Loss: 0.616812
===> D_Epoch[1](11/2480): Loss: 0.691080
===========> G_Epoch[1](12/2480): Loss: 0.800834
===> D_Epoch[1](12/2480): Loss: 0.692172
===========> G_Epoch[1](13/2480): Loss: 0.682285
===> D_Epoch[1](13/2480): Loss: 0.692478
===========> G_Epoch[1](14/2480): Loss: 0.885140
===> D_Epoch[1](14/2480): Loss: 0.690066
===========> G_Epoch[1](15/2480): Loss: 0.675830
===> D_Epoch[1](15/2480): Loss: 0.691632
===========> G_Epoch[1](16/2480): Loss: 0.675467
===> D_Epoch[1](16/2480): Loss: 0.688464
===========> G_Epoch[1](17/2480): Loss: 0.629736
===> D_Epoch[1](17/2480): Loss: 0.690612
===========> G_Epoch[1](18/2480): Loss: 0.802008
===> D_Epoch[1](18/2480): Loss: 0.689549
===========> G_Epoch[1](19/2480): Loss: 0.603405
===> D_Epoch[1](19/2480): Loss: 0.689973
===========> G_Epoch[1](20/2480): Loss: 0.671348
===> D_Epoch[1](20/2480): Loss: 0.689921
===========> G_Epoch[1](21/2480): Loss: 0.571033
===> D_Epoch[1](21/2480): Loss: 0.690139
===========> G_Epoch[1](22/2480): Loss: 0.833314
===> D_Epoch[1](22/2480): Loss: 0.689965
===========> G_Epoch[1](23/2480): Loss: 0.710722
===> D_Epoch[1](23/2480): Loss: 0.690430
===========> G_Epoch[1](24/2480): Loss: 0.658732
===> D_Epoch[1](24/2480): Loss: 0.690760
===========> G_Epoch[1](25/2480): Loss: 0.635921
===> D_Epoch[1](25/2480): Loss: 0.690831
===========> G_Epoch[1](26/2480): Loss: 0.702064
===> D_Epoch[1](26/2480): Loss: 0.693095
===========> G_Epoch[1](27/2480): Loss: 0.658150
===> D_Epoch[1](27/2480): Loss: 0.689892
===========> G_Epoch[1](28/2480): Loss: 0.769127
===> D_Epoch[1](28/2480): Loss: 0.689634
===========> G_Epoch[1](29/2480): Loss: 0.671823
===> D_Epoch[1](29/2480): Loss: 0.687593
===========> G_Epoch[1](30/2480): Loss: 0.907912
===> D_Epoch[1](30/2480): Loss: 0.689062
===========> G_Epoch[1](31/2480): Loss: 0.577832
===> D_Epoch[1](31/2480): Loss: 0.687557
===========> G_Epoch[1](32/2480): Loss: 0.703160
===> D_Epoch[1](32/2480): Loss: 0.684825
===========> G_Epoch[1](33/2480): Loss: 0.548179
===> D_Epoch[1](33/2480): Loss: 0.685731
===========> G_Epoch[1](34/2480): Loss: 0.856111
===> D_Epoch[1](34/2480): Loss: 0.687437
===========> G_Epoch[1](35/2480): Loss: 0.711827
===> D_Epoch[1](35/2480): Loss: 0.685587
===========> G_Epoch[1](36/2480): Loss: 0.630167
===> D_Epoch[1](36/2480): Loss: 0.684072
===========> G_Epoch[1](37/2480): Loss: 0.724074
===> D_Epoch[1](37/2480): Loss: 0.686899
===========> G_Epoch[1](38/2480): Loss: 0.714865
===> D_Epoch[1](38/2480): Loss: 0.684644
===========> G_Epoch[1](39/2480): Loss: 0.641017
===> D_Epoch[1](39/2480): Loss: 0.686750
===========> G_Epoch[1](40/2480): Loss: 0.771073
===> D_Epoch[1](40/2480): Loss: 0.686695
===========> G_Epoch[1](41/2480): Loss: 0.665296
===> D_Epoch[1](41/2480): Loss: 0.687496
===========> G_Epoch[1](42/2480): Loss: 0.774208
===> D_Epoch[1](42/2480): Loss: 0.682180
===========> G_Epoch[1](43/2480): Loss: 0.811483
===> D_Epoch[1](43/2480): Loss: 0.685536
===========> G_Epoch[1](44/2480): Loss: 0.757458
===> D_Epoch[1](44/2480): Loss: 0.683572
===========> G_Epoch[1](45/2480): Loss: 0.730684
===> D_Epoch[1](45/2480): Loss: 0.684336
===========> G_Epoch[1](46/2480): Loss: 0.520415
===> D_Epoch[1](46/2480): Loss: 0.685326
