nohup: ignoring input
Namespace(batchSize=64, chop=False, cuda=True, loss='1*L1', lr=0.0001, nEpochs=1000, patchSize=64, pre_train=None, rgb_range=255, seed=123, testBatchSize=1, threads=4)
===> Loading datasets
===> Building model
Let's use 8 GPUs!
===> Epoch[1](1/1860): Loss: 0.021623
===> Epoch[1](2/1860): Loss: 0.021655
===> Epoch[1](3/1860): Loss: 0.020516
===> Epoch[1](4/1860): Loss: 0.018506
===> Epoch[1](5/1860): Loss: 0.017846
===> Epoch[1](6/1860): Loss: 0.017455
===> Epoch[1](7/1860): Loss: 0.020449
===> Epoch[1](8/1860): Loss: 0.019232
===> Epoch[1](9/1860): Loss: 0.020062
===> Epoch[1](10/1860): Loss: 0.019024
===> Epoch[1](11/1860): Loss: 0.017190
===> Epoch[1](12/1860): Loss: 0.019053
===> Epoch[1](13/1860): Loss: 0.017038
===> Epoch[1](14/1860): Loss: 0.017619
===> Epoch[1](15/1860): Loss: 0.017335
===> Epoch[1](16/1860): Loss: 0.017149
===> Epoch[1](17/1860): Loss: 0.017563
===> Epoch[1](18/1860): Loss: 0.017880
===> Epoch[1](19/1860): Loss: 0.018293
===> Epoch[1](20/1860): Loss: 0.018405
===> Epoch[1](21/1860): Loss: 0.017950
===> Epoch[1](22/1860): Loss: 0.018807
===> Epoch[1](23/1860): Loss: 0.017214
===> Epoch[1](24/1860): Loss: 0.019226
===> Epoch[1](25/1860): Loss: 0.019758
===> Epoch[1](26/1860): Loss: 0.018026
===> Epoch[1](27/1860): Loss: 0.016916
===> Epoch[1](28/1860): Loss: 0.018860
===> Epoch[1](29/1860): Loss: 0.016141
===> Epoch[1](30/1860): Loss: 0.018202
===> Epoch[1](31/1860): Loss: 0.017819
===> Epoch[1](32/1860): Loss: 0.015374
===> Epoch[1](33/1860): Loss: 0.016786
===> Epoch[1](34/1860): Loss: 0.016422
===> Epoch[1](35/1860): Loss: 0.016045
===> Epoch[1](36/1860): Loss: 0.018147
===> Epoch[1](37/1860): Loss: 0.018282
===> Epoch[1](38/1860): Loss: 0.018409
===> Epoch[1](39/1860): Loss: 0.018814
===> Epoch[1](40/1860): Loss: 0.018568
===> Epoch[1](41/1860): Loss: 0.017949
===> Epoch[1](42/1860): Loss: 0.018284
===> Epoch[1](43/1860): Loss: 0.017954
===> Epoch[1](44/1860): Loss: 0.018151
===> Epoch[1](45/1860): Loss: 0.019045
===> Epoch[1](46/1860): Loss: 0.016982
===> Epoch[1](47/1860): Loss: 0.019077
===> Epoch[1](48/1860): Loss: 0.016139
===> Epoch[1](49/1860): Loss: 0.019590
===> Epoch[1](50/1860): Loss: 0.017797
===> Epoch[1](51/1860): Loss: 0.018959
===> Epoch[1](52/1860): Loss: 0.018073
===> Epoch[1](53/1860): Loss: 0.018660
===> Epoch[1](54/1860): Loss: 0.018400
===> Epoch[1](55/1860): Loss: 0.018764
===> Epoch[1](56/1860): Loss: 0.018983
===> Epoch[1](57/1860): Loss: 0.019046
===> Epoch[1](58/1860): Loss: 0.018797
===> Epoch[1](59/1860): Loss: 0.016286
===> Epoch[1](60/1860): Loss: 0.018033
===> Epoch[1](61/1860): Loss: 0.016303
===> Epoch[1](62/1860): Loss: 0.017224
===> Epoch[1](63/1860): Loss: 0.018992
===> Epoch[1](64/1860): Loss: 0.016298
===> Epoch[1](65/1860): Loss: 0.016851
===> Epoch[1](66/1860): Loss: 0.016539
===> Epoch[1](67/1860): Loss: 0.017975
===> Epoch[1](68/1860): Loss: 0.016488
===> Epoch[1](69/1860): Loss: 0.018845
===> Epoch[1](70/1860): Loss: 0.017870
===> Epoch[1](71/1860): Loss: 0.020112
===> Epoch[1](72/1860): Loss: 0.017019
===> Epoch[1](73/1860): Loss: 0.019592
===> Epoch[1](74/1860): Loss: 0.016515
===> Epoch[1](75/1860): Loss: 0.016679
===> Epoch[1](76/1860): Loss: 0.019868
===> Epoch[1](77/1860): Loss: 0.018218
===> Epoch[1](78/1860): Loss: 0.015589
===> Epoch[1](79/1860): Loss: 0.016528
===> Epoch[1](80/1860): Loss: 0.016072
===> Epoch[1](81/1860): Loss: 0.018725
===> Epoch[1](82/1860): Loss: 0.016953
===> Epoch[1](83/1860): Loss: 0.015909
===> Epoch[1](84/1860): Loss: 0.018372
===> Epoch[1](85/1860): Loss: 0.018188
===> Epoch[1](86/1860): Loss: 0.015903
===> Epoch[1](87/1860): Loss: 0.017783
===> Epoch[1](88/1860): Loss: 0.017525
===> Epoch[1](89/1860): Loss: 0.018250
===> Epoch[1](90/1860): Loss: 0.017051
===> Epoch[1](91/1860): Loss: 0.019382
===> Epoch[1](92/1860): Loss: 0.018311
===> Epoch[1](93/1860): Loss: 0.018917
===> Epoch[1](94/1860): Loss: 0.016205
===> Epoch[1](95/1860): Loss: 0.018026
===> Epoch[1](96/1860): Loss: 0.017661
===> Epoch[1](97/1860): Loss: 0.018082
===> Epoch[1](98/1860): Loss: 0.018414
===> Epoch[1](99/1860): Loss: 0.017559
===> Epoch[1](100/1860): Loss: 0.017023
===> Epoch[1](101/1860): Loss: 0.015373
===> Epoch[1](102/1860): Loss: 0.017918
===> Epoch[1](103/1860): Loss: 0.016085
===> Epoch[1](104/1860): Loss: 0.016724
===> Epoch[1](105/1860): Loss: 0.018663
===> Epoch[1](106/1860): Loss: 0.017299
===> Epoch[1](107/1860): Loss: 0.019391
===> Epoch[1](108/1860): Loss: 0.018100
===> Epoch[1](109/1860): Loss: 0.018827
===> Epoch[1](110/1860): Loss: 0.019058
===> Epoch[1](111/1860): Loss: 0.018937
===> Epoch[1](112/1860): Loss: 0.017410
===> Epoch[1](113/1860): Loss: 0.018322
===> Epoch[1](114/1860): Loss: 0.018008
===> Epoch[1](115/1860): Loss: 0.018732
===> Epoch[1](116/1860): Loss: 0.019274
===> Epoch[1](117/1860): Loss: 0.016576
===> Epoch[1](118/1860): Loss: 0.017477
===> Epoch[1](119/1860): Loss: 0.018206
===> Epoch[1](120/1860): Loss: 0.016638
===> Epoch[1](121/1860): Loss: 0.019126
===> Epoch[1](122/1860): Loss: 0.017765
===> Epoch[1](123/1860): Loss: 0.016358
===> Epoch[1](124/1860): Loss: 0.018702
===> Epoch[1](125/1860): Loss: 0.018735
===> Epoch[1](126/1860): Loss: 0.018022
===> Epoch[1](127/1860): Loss: 0.017734
===> Epoch[1](128/1860): Loss: 0.016721
===> Epoch[1](129/1860): Loss: 0.019598
===> Epoch[1](130/1860): Loss: 0.018469
===> Epoch[1](131/1860): Loss: 0.015976
===> Epoch[1](132/1860): Loss: 0.018618
===> Epoch[1](133/1860): Loss: 0.017718
===> Epoch[1](134/1860): Loss: 0.018459
===> Epoch[1](135/1860): Loss: 0.019582
===> Epoch[1](136/1860): Loss: 0.018712
===> Epoch[1](137/1860): Loss: 0.017138
===> Epoch[1](138/1860): Loss: 0.019102
===> Epoch[1](139/1860): Loss: 0.018279
===> Epoch[1](140/1860): Loss: 0.018048
===> Epoch[1](141/1860): Loss: 0.018303
===> Epoch[1](142/1860): Loss: 0.018615
===> Epoch[1](143/1860): Loss: 0.017105
===> Epoch[1](144/1860): Loss: 0.016855
===> Epoch[1](145/1860): Loss: 0.017270
===> Epoch[1](146/1860): Loss: 0.017698
===> Epoch[1](147/1860): Loss: 0.017216
===> Epoch[1](148/1860): Loss: 0.018431
===> Epoch[1](149/1860): Loss: 0.017133
===> Epoch[1](150/1860): Loss: 0.020332
===> Epoch[1](151/1860): Loss: 0.018741
===> Epoch[1](152/1860): Loss: 0.017140
===> Epoch[1](153/1860): Loss: 0.016918
===> Epoch[1](154/1860): Loss: 0.017142
===> Epoch[1](155/1860): Loss: 0.016828
===> Epoch[1](156/1860): Loss: 0.016400
===> Epoch[1](157/1860): Loss: 0.018016
===> Epoch[1](158/1860): Loss: 0.017803
===> Epoch[1](159/1860): Loss: 0.017442
===> Epoch[1](160/1860): Loss: 0.017372
===> Epoch[1](161/1860): Loss: 0.018775
===> Epoch[1](162/1860): Loss: 0.018055
===> Epoch[1](163/1860): Loss: 0.019794
===> Epoch[1](164/1860): Loss: 0.017664
===> Epoch[1](165/1860): Loss: 0.018012
===> Epoch[1](166/1860): Loss: 0.017692
===> Epoch[1](167/1860): Loss: 0.020166
===> Epoch[1](168/1860): Loss: 0.018915
===> Epoch[1](169/1860): Loss: 0.017779
===> Epoch[1](170/1860): Loss: 0.016779
===> Epoch[1](171/1860): Loss: 0.017776
===> Epoch[1](172/1860): Loss: 0.016353
===> Epoch[1](173/1860): Loss: 0.019120
===> Epoch[1](174/1860): Loss: 0.018693
===> Epoch[1](175/1860): Loss: 0.018849
===> Epoch[1](176/1860): Loss: 0.015724
===> Epoch[1](177/1860): Loss: 0.017896
===> Epoch[1](178/1860): Loss: 0.018060
===> Epoch[1](179/1860): Loss: 0.018221
===> Epoch[1](180/1860): Loss: 0.017183
===> Epoch[1](181/1860): Loss: 0.018866
===> Epoch[1](182/1860): Loss: 0.018068
===> Epoch[1](183/1860): Loss: 0.016306
===> Epoch[1](184/1860): Loss: 0.019329
===> Epoch[1](185/1860): Loss: 0.015938
===> Epoch[1](186/1860): Loss: 0.017417
===> Epoch[1](187/1860): Loss: 0.017556
===> Epoch[1](188/1860): Loss: 0.018087
===> Epoch[1](189/1860): Loss: 0.016966
===> Epoch[1](190/1860): Loss: 0.017071
===> Epoch[1](191/1860): Loss: 0.017036
===> Epoch[1](192/1860): Loss: 0.018655
===> Epoch[1](193/1860): Loss: 0.017546
===> Epoch[1](194/1860): Loss: 0.018060
===> Epoch[1](195/1860): Loss: 0.018247
===> Epoch[1](196/1860): Loss: 0.018082
===> Epoch[1](197/1860): Loss: 0.017086
===> Epoch[1](198/1860): Loss: 0.018210
===> Epoch[1](199/1860): Loss: 0.018071
===> Epoch[1](200/1860): Loss: 0.017504
===> Epoch[1](201/1860): Loss: 0.019075
===> Epoch[1](202/1860): Loss: 0.017478
===> Epoch[1](203/1860): Loss: 0.015821
===> Epoch[1](204/1860): Loss: 0.018066
===> Epoch[1](205/1860): Loss: 0.017465
===> Epoch[1](206/1860): Loss: 0.016522
===> Epoch[1](207/1860): Loss: 0.017046
===> Epoch[1](208/1860): Loss: 0.018872
===> Epoch[1](209/1860): Loss: 0.018397
===> Epoch[1](210/1860): Loss: 0.016949
===> Epoch[1](211/1860): Loss: 0.018467
===> Epoch[1](212/1860): Loss: 0.017219
===> Epoch[1](213/1860): Loss: 0.016371
===> Epoch[1](214/1860): Loss: 0.016910
===> Epoch[1](215/1860): Loss: 0.016243
===> Epoch[1](216/1860): Loss: 0.015867
===> Epoch[1](217/1860): Loss: 0.019258
===> Epoch[1](218/1860): Loss: 0.018328
===> Epoch[1](219/1860): Loss: 0.019702
===> Epoch[1](220/1860): Loss: 0.018287
===> Epoch[1](221/1860): Loss: 0.018516
===> Epoch[1](222/1860): Loss: 0.018954
===> Epoch[1](223/1860): Loss: 0.017750
===> Epoch[1](224/1860): Loss: 0.015968
===> Epoch[1](225/1860): Loss: 0.017658
===> Epoch[1](226/1860): Loss: 0.017808
===> Epoch[1](227/1860): Loss: 0.016332
===> Epoch[1](228/1860): Loss: 0.017636
===> Epoch[1](229/1860): Loss: 0.018214
===> Epoch[1](230/1860): Loss: 0.017624
===> Epoch[1](231/1860): Loss: 0.018064
===> Epoch[1](232/1860): Loss: 0.018184
===> Epoch[1](233/1860): Loss: 0.016943
===> Epoch[1](234/1860): Loss: 0.019728
===> Epoch[1](235/1860): Loss: 0.018451
===> Epoch[1](236/1860): Loss: 0.016190
===> Epoch[1](237/1860): Loss: 0.017229
===> Epoch[1](238/1860): Loss: 0.017711
===> Epoch[1](239/1860): Loss: 0.017247
===> Epoch[1](240/1860): Loss: 0.018259
===> Epoch[1](241/1860): Loss: 0.018349
===> Epoch[1](242/1860): Loss: 0.016893
===> Epoch[1](243/1860): Loss: 0.017642
===> Epoch[1](244/1860): Loss: 0.017193
===> Epoch[1](245/1860): Loss: 0.015410
===> Epoch[1](246/1860): Loss: 0.017263
===> Epoch[1](247/1860): Loss: 0.017529
===> Epoch[1](248/1860): Loss: 0.019155
===> Epoch[1](249/1860): Loss: 0.018972
===> Epoch[1](250/1860): Loss: 0.018990
===> Epoch[1](251/1860): Loss: 0.018875
===> Epoch[1](252/1860): Loss: 0.019243
===> Epoch[1](253/1860): Loss: 0.018277
===> Epoch[1](254/1860): Loss: 0.018603
===> Epoch[1](255/1860): Loss: 0.016194
===> Epoch[1](256/1860): Loss: 0.016662
===> Epoch[1](257/1860): Loss: 0.018133
===> Epoch[1](258/1860): Loss: 0.017354
===> Epoch[1](259/1860): Loss: 0.017794
===> Epoch[1](260/1860): Loss: 0.017055
===> Epoch[1](261/1860): Loss: 0.019067
===> Epoch[1](262/1860): Loss: 0.018136
===> Epoch[1](263/1860): Loss: 0.019399
===> Epoch[1](264/1860): Loss: 0.018486
===> Epoch[1](265/1860): Loss: 0.015438
===> Epoch[1](266/1860): Loss: 0.017662
===> Epoch[1](267/1860): Loss: 0.017598
===> Epoch[1](268/1860): Loss: 0.016335
===> Epoch[1](269/1860): Loss: 0.018584
===> Epoch[1](270/1860): Loss: 0.017723
===> Epoch[1](271/1860): Loss: 0.016124
===> Epoch[1](272/1860): Loss: 0.016901
===> Epoch[1](273/1860): Loss: 0.017818
===> Epoch[1](274/1860): Loss: 0.016940
===> Epoch[1](275/1860): Loss: 0.017373
===> Epoch[1](276/1860): Loss: 0.016497
===> Epoch[1](277/1860): Loss: 0.018099
===> Epoch[1](278/1860): Loss: 0.018434
===> Epoch[1](279/1860): Loss: 0.019072
===> Epoch[1](280/1860): Loss: 0.019894
===> Epoch[1](281/1860): Loss: 0.018894
===> Epoch[1](282/1860): Loss: 0.017827
===> Epoch[1](283/1860): Loss: 0.016706
===> Epoch[1](284/1860): Loss: 0.016794
===> Epoch[1](285/1860): Loss: 0.018332
===> Epoch[1](286/1860): Loss: 0.020082
===> Epoch[1](287/1860): Loss: 0.016952
===> Epoch[1](288/1860): Loss: 0.018538
===> Epoch[1](289/1860): Loss: 0.018392
===> Epoch[1](290/1860): Loss: 0.017240
===> Epoch[1](291/1860): Loss: 0.018025
===> Epoch[1](292/1860): Loss: 0.017418
===> Epoch[1](293/1860): Loss: 0.016870
===> Epoch[1](294/1860): Loss: 0.018875
===> Epoch[1](295/1860): Loss: 0.018106
===> Epoch[1](296/1860): Loss: 0.016652
===> Epoch[1](297/1860): Loss: 0.018422
===> Epoch[1](298/1860): Loss: 0.017814
===> Epoch[1](299/1860): Loss: 0.015981
===> Epoch[1](300/1860): Loss: 0.016981
===> Epoch[1](301/1860): Loss: 0.016905
===> Epoch[1](302/1860): Loss: 0.016840
===> Epoch[1](303/1860): Loss: 0.019020
===> Epoch[1](304/1860): Loss: 0.018791
===> Epoch[1](305/1860): Loss: 0.018632
===> Epoch[1](306/1860): Loss: 0.017296
===> Epoch[1](307/1860): Loss: 0.017765
===> Epoch[1](308/1860): Loss: 0.018033
===> Epoch[1](309/1860): Loss: 0.017186
===> Epoch[1](310/1860): Loss: 0.017710
===> Epoch[1](311/1860): Loss: 0.018430
===> Epoch[1](312/1860): Loss: 0.017466
===> Epoch[1](313/1860): Loss: 0.019536
===> Epoch[1](314/1860): Loss: 0.015989
===> Epoch[1](315/1860): Loss: 0.017186
===> Epoch[1](316/1860): Loss: 0.019738
===> Epoch[1](317/1860): Loss: 0.017336
===> Epoch[1](318/1860): Loss: 0.018555
===> Epoch[1](319/1860): Loss: 0.016398
===> Epoch[1](320/1860): Loss: 0.016710
===> Epoch[1](321/1860): Loss: 0.018776
===> Epoch[1](322/1860): Loss: 0.017962
===> Epoch[1](323/1860): Loss: 0.020399
===> Epoch[1](324/1860): Loss: 0.019005
===> Epoch[1](325/1860): Loss: 0.017242
===> Epoch[1](326/1860): Loss: 0.018442
===> Epoch[1](327/1860): Loss: 0.017967
===> Epoch[1](328/1860): Loss: 0.015419
===> Epoch[1](329/1860): Loss: 0.017164
===> Epoch[1](330/1860): Loss: 0.018060
===> Epoch[1](331/1860): Loss: 0.016280
===> Epoch[1](332/1860): Loss: 0.015763
===> Epoch[1](333/1860): Loss: 0.018098
===> Epoch[1](334/1860): Loss: 0.018087
===> Epoch[1](335/1860): Loss: 0.017226
===> Epoch[1](336/1860): Loss: 0.017395
===> Epoch[1](337/1860): Loss: 0.017614
===> Epoch[1](338/1860): Loss: 0.018878
===> Epoch[1](339/1860): Loss: 0.016418
===> Epoch[1](340/1860): Loss: 0.018618
===> Epoch[1](341/1860): Loss: 0.016510
===> Epoch[1](342/1860): Loss: 0.017329
===> Epoch[1](343/1860): Loss: 0.017936
===> Epoch[1](344/1860): Loss: 0.018994
===> Epoch[1](345/1860): Loss: 0.020811
===> Epoch[1](346/1860): Loss: 0.016529
===> Epoch[1](347/1860): Loss: 0.018420
===> Epoch[1](348/1860): Loss: 0.016368
===> Epoch[1](349/1860): Loss: 0.018336
===> Epoch[1](350/1860): Loss: 0.017731
===> Epoch[1](351/1860): Loss: 0.017780
===> Epoch[1](352/1860): Loss: 0.016291
===> Epoch[1](353/1860): Loss: 0.016347
===> Epoch[1](354/1860): Loss: 0.016201
===> Epoch[1](355/1860): Loss: 0.018130
===> Epoch[1](356/1860): Loss: 0.018827
===> Epoch[1](357/1860): Loss: 0.016032
===> Epoch[1](358/1860): Loss: 0.020161
===> Epoch[1](359/1860): Loss: 0.017756
===> Epoch[1](360/1860): Loss: 0.017398
===> Epoch[1](361/1860): Loss: 0.019022
===> Epoch[1](362/1860): Loss: 0.019167
===> Epoch[1](363/1860): Loss: 0.017158
===> Epoch[1](364/1860): Loss: 0.018856
===> Epoch[1](365/1860): Loss: 0.017479
===> Epoch[1](366/1860): Loss: 0.017842
===> Epoch[1](367/1860): Loss: 0.017436
===> Epoch[1](368/1860): Loss: 0.017212
===> Epoch[1](369/1860): Loss: 0.018030
===> Epoch[1](370/1860): Loss: 0.016839
===> Epoch[1](371/1860): Loss: 0.017115
===> Epoch[1](372/1860): Loss: 0.017364
===> Epoch[1](373/1860): Loss: 0.016745
===> Epoch[1](374/1860): Loss: 0.018606
===> Epoch[1](375/1860): Loss: 0.018293
===> Epoch[1](376/1860): Loss: 0.017974
===> Epoch[1](377/1860): Loss: 0.018596
===> Epoch[1](378/1860): Loss: 0.018996
===> Epoch[1](379/1860): Loss: 0.016887
===> Epoch[1](380/1860): Loss: 0.016783
===> Epoch[1](381/1860): Loss: 0.018424
===> Epoch[1](382/1860): Loss: 0.016819
===> Epoch[1](383/1860): Loss: 0.016977
===> Epoch[1](384/1860): Loss: 0.015678
===> Epoch[1](385/1860): Loss: 0.017975
===> Epoch[1](386/1860): Loss: 0.016984
===> Epoch[1](387/1860): Loss: 0.019424
